filename,filepath,category,width,height,DateTimeDigitized,Model,ExposureTime,FNumber,ISOSpeedRatings
DSC_0384.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_0384.jpg,Nature,3436,2276,2017:07:28 20:40:09,NIKON D7000,0.0004,5.6,640
DSC_0475.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_0475.jpg,Nature,4796,2698,2017:07:28 20:42:05,NIKON D7000,0.0025,5.6,640
DSC_0638.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_0638.jpg,Nature,4708,3118,2017:07:28 20:53:14,NIKON D7000,0.001,5.6,640
DSC_9374.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_9374.jpg,Nature,3386,2243,2017:07:28 19:19:48,NIKON D7000,0.00125,5.6,1250
DSC_9379.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_9379.jpg,Nature,3417,2263,2017:07:28 19:19:53,NIKON D7000,0.00125,5.6,1250
DSC_9419.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_9419.jpg,Nature,3665,2062,2017:07:28 19:20:59,NIKON D7000,0.0015625,5.6,1250
DSC_9429-2.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_9429-2.jpg,Nature,3656,2422,2017:07:28 19:21:27,NIKON D7000,0.0015625,5.6,1250
DSC_9432.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_9432.jpg,Nature,3639,2410,2017:07:28 19:21:34,NIKON D7000,0.0015625,5.6,1250
DSC_9600.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_9600.jpg,Nature,4928,3264,2017:07:28 19:29:12,NIKON D7000,0.0025,5.6,640
DSC_9752.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_9752.jpg,Nature,4671,3094,2017:07:28 19:39:07,NIKON D7000,0.0004,2.8,640
DSC_9776.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_9776.jpg,Nature,4407,2919,2017:07:28 19:39:45,NIKON D7000,0.0004,2.8,640
DSC_9810-2.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_9810-2.jpg,Nature,4484,2970,2017:07:28 19:52:05,NIKON D7000,0.000625,2.8,640
DSC_9817.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_9817.jpg,Nature,4511,2988,2017:07:28 19:52:16,NIKON D7000,0.000625,2.8,640
DSC_9927.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_9927.jpg,Nature,4928,3264,2017:07:28 20:00:09,NIKON D7000,0.00125,2.8,640
DSC_9959.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_9959.jpg,Nature,4736,3137,2017:07:28 20:02:08,NIKON D7000,0.000625,2.8,640
DSC_9970.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_9970.jpg,Nature,4799,3179,2017:07:28 20:03:38,NIKON D7000,0.000625,2.8,640
DSC_9996.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_9996.jpg,Nature,4699,3112,2017:07:28 20:05:11,NIKON D7000,0.001,2.8,640
